Sector económico;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
Industria;Mujeres;03 Asturias, Principado de;2020T4;10,4
Industria;Mujeres;03 Asturias, Principado de;2020T3;11,5
Industria;Mujeres;03 Asturias, Principado de;2020T2;10,7
Industria;Mujeres;03 Asturias, Principado de;2020T1;11,3
Industria;Mujeres;03 Asturias, Principado de;2019T4;10,8
Industria;Mujeres;03 Asturias, Principado de;2019T3;10,4
Industria;Mujeres;03 Asturias, Principado de;2019T2;10,4
Industria;Mujeres;03 Asturias, Principado de;2019T1;10,7
Industria;Mujeres;03 Asturias, Principado de;2018T4;11,5
Industria;Mujeres;03 Asturias, Principado de;2018T3;10,1
Industria;Mujeres;03 Asturias, Principado de;2018T2;9,4
Industria;Mujeres;03 Asturias, Principado de;2018T1;10,7
Industria;Mujeres;03 Asturias, Principado de;2017T4;10,3
Industria;Mujeres;03 Asturias, Principado de;2017T3;12,7
Industria;Mujeres;03 Asturias, Principado de;2017T2;11,2
Industria;Mujeres;03 Asturias, Principado de;2017T1;11,0
Industria;Mujeres;03 Asturias, Principado de;2016T4;11,7
Industria;Mujeres;03 Asturias, Principado de;2016T3;10,1
Industria;Mujeres;03 Asturias, Principado de;2016T2;10,2
Industria;Mujeres;03 Asturias, Principado de;2016T1;8,3
Industria;Mujeres;04 Balears, Illes;2025T3;10,0
Industria;Mujeres;04 Balears, Illes;2025T2;11,2
Industria;Mujeres;04 Balears, Illes;2025T1;11,3
Industria;Mujeres;04 Balears, Illes;2024T4;11,5
Industria;Mujeres;04 Balears, Illes;2024T3;11,0
Industria;Mujeres;04 Balears, Illes;2024T2;10,7
Industria;Mujeres;04 Balears, Illes;2024T1;9,9
Industria;Mujeres;04 Balears, Illes;2023T4;9,5
Industria;Mujeres;04 Balears, Illes;2023T3;7,8
Industria;Mujeres;04 Balears, Illes;2023T2;8,4
Industria;Mujeres;04 Balears, Illes;2023T1;10,5
Industria;Mujeres;04 Balears, Illes;2022T4;8,6
Industria;Mujeres;04 Balears, Illes;2022T3;9,7
Industria;Mujeres;04 Balears, Illes;2022T2;9,9
Industria;Mujeres;04 Balears, Illes;2022T1;7,7
Industria;Mujeres;04 Balears, Illes;2021T4;10,8
Industria;Mujeres;04 Balears, Illes;2021T3;9,7
Industria;Mujeres;04 Balears, Illes;2021T2;8,8
Industria;Mujeres;04 Balears, Illes;2021T1;8,4
Industria;Mujeres;04 Balears, Illes;2020T4;10,7
Industria;Mujeres;04 Balears, Illes;2020T3;13,2
Industria;Mujeres;04 Balears, Illes;2020T2;8,0
Industria;Mujeres;04 Balears, Illes;2020T1;9,7
Industria;Mujeres;04 Balears, Illes;2019T4;10,7
Industria;Mujeres;04 Balears, Illes;2019T3;9,9
Industria;Mujeres;04 Balears, Illes;2019T2;7,2
Industria;Mujeres;04 Balears, Illes;2019T1;9,2
Industria;Mujeres;04 Balears, Illes;2018T4;7,5
Industria;Mujeres;04 Balears, Illes;2018T3;9,0
Industria;Mujeres;04 Balears, Illes;2018T2;9,9
Industria;Mujeres;04 Balears, Illes;2018T1;12,9
Industria;Mujeres;04 Balears, Illes;2017T4;13,8
Industria;Mujeres;04 Balears, Illes;2017T3;11,0
Industria;Mujeres;04 Balears, Illes;2017T2;10,1
Industria;Mujeres;04 Balears, Illes;2017T1;9,2
Industria;Mujeres;04 Balears, Illes;2016T4;8,2
Industria;Mujeres;04 Balears, Illes;2016T3;7,7
Industria;Mujeres;04 Balears, Illes;2016T2;7,7
Industria;Mujeres;04 Balears, Illes;2016T1;7,3
Industria;Mujeres;05 Canarias;2025T3;16,4
Industria;Mujeres;05 Canarias;2025T2;12,0
Industria;Mujeres;05 Canarias;2025T1;12,7
Industria;Mujeres;05 Canarias;2024T4;12,8
Industria;Mujeres;05 Canarias;2024T3;12,2
Industria;Mujeres;05 Canarias;2024T2;14,5
Industria;Mujeres;05 Canarias;2024T1;13,8
Industria;Mujeres;05 Canarias;2023T4;16,4
Industria;Mujeres;05 Canarias;2023T3;18,7
Industria;Mujeres;05 Canarias;2023T2;12,1
Industria;Mujeres;05 Canarias;2023T1;8,7
Industria;Mujeres;05 Canarias;2022T4;10,7
Industria;Mujeres;05 Canarias;2022T3;9,5
Industria;Mujeres;05 Canarias;2022T2;7,2
Industria;Mujeres;05 Canarias;2022T1;10,1
Industria;Mujeres;05 Canarias;2021T4;10,5
Industria;Mujeres;05 Canarias;2021T3;10,6
Industria;Mujeres;05 Canarias;2021T2;10,4
Industria;Mujeres;05 Canarias;2021T1;8,9
Industria;Mujeres;05 Canarias;2020T4;9,4
Industria;Mujeres;05 Canarias;2020T3;7,4
Industria;Mujeres;05 Canarias;2020T2;9,7
Industria;Mujeres;05 Canarias;2020T1;8,5
Industria;Mujeres;05 Canarias;2019T4;8,0
Industria;Mujeres;05 Canarias;2019T3;9,8
Industria;Mujeres;05 Canarias;2019T2;10,3
Industria;Mujeres;05 Canarias;2019T1;9,7
Industria;Mujeres;05 Canarias;2018T4;8,3
Industria;Mujeres;05 Canarias;2018T3;8,9
Industria;Mujeres;05 Canarias;2018T2;8,5
Industria;Mujeres;05 Canarias;2018T1;8,7
Industria;Mujeres;05 Canarias;2017T4;7,3
Industria;Mujeres;05 Canarias;2017T3;6,5
Industria;Mujeres;05 Canarias;2017T2;5,9
Industria;Mujeres;05 Canarias;2017T1;4,5
Industria;Mujeres;05 Canarias;2016T4;6,2
Industria;Mujeres;05 Canarias;2016T3;8,1
Industria;Mujeres;05 Canarias;2016T2;7,8
Industria;Mujeres;05 Canarias;2016T1;7,2
Industria;Mujeres;06 Cantabria;2025T3;10,5
Industria;Mujeres;06 Cantabria;2025T2;7,8
Industria;Mujeres;06 Cantabria;2025T1;9,3
Industria;Mujeres;06 Cantabria;2024T4;8,4
Industria;Mujeres;06 Cantabria;2024T3;9,7
Industria;Mujeres;06 Cantabria;2024T2;9,4
Industria;Mujeres;06 Cantabria;2024T1;8,3
Industria;Mujeres;06 Cantabria;2023T4;9,7
Industria;Mujeres;06 Cantabria;2023T3;9,2
Industria;Mujeres;06 Cantabria;2023T2;10,3
Industria;Mujeres;06 Cantabria;2023T1;8,4
Industria;Mujeres;06 Cantabria;2022T4;9,7
Industria;Mujeres;06 Cantabria;2022T3;8,9
Industria;Mujeres;06 Cantabria;2022T2;9,9
Industria;Mujeres;06 Cantabria;2022T1;9,4
Industria;Mujeres;06 Cantabria;2021T4;8,9
Industria;Mujeres;06 Cantabria;2021T3;10,5
Industria;Mujeres;06 Cantabria;2021T2;9,0
Industria;Mujeres;06 Cantabria;2021T1;10,1
Industria;Mujeres;06 Cantabria;2020T4;10,1
Industria;Mujeres;06 Cantabria;2020T3;10,2
Industria;Mujeres;06 Cantabria;2020T2;8,0
Industria;Mujeres;06 Cantabria;2020T1;7,1
Industria;Mujeres;06 Cantabria;2019T4;8,0
Industria;Mujeres;06 Cantabria;2019T3;6,5
Industria;Mujeres;06 Cantabria;2019T2;6,1
Industria;Mujeres;06 Cantabria;2019T1;6,3
Industria;Mujeres;06 Cantabria;2018T4;7,6
Industria;Mujeres;06 Cantabria;2018T3;7,6
Industria;Mujeres;06 Cantabria;2018T2;7,0
Industria;Mujeres;06 Cantabria;2018T1;7,5
Industria;Mujeres;06 Cantabria;2017T4;6,6
Industria;Mujeres;06 Cantabria;2017T3;6,1
Industria;Mujeres;06 Cantabria;2017T2;6,6
Industria;Mujeres;06 Cantabria;2017T1;8,0
Industria;Mujeres;06 Cantabria;2016T4;9,6
Industria;Mujeres;06 Cantabria;2016T3;8,6
Industria;Mujeres;06 Cantabria;2016T2;8,9
Industria;Mujeres;06 Cantabria;2016T1;7,8
Industria;Mujeres;07 Castilla y León;2025T3;44,0
Industria;Mujeres;07 Castilla y León;2025T2;41,3
Industria;Mujeres;07 Castilla y León;2025T1;45,0
Industria;Mujeres;07 Castilla y León;2024T4;43,0
Industria;Mujeres;07 Castilla y León;2024T3;40,5
Industria;Mujeres;07 Castilla y León;2024T2;40,8
Industria;Mujeres;07 Castilla y León;2024T1;39,0
Industria;Mujeres;07 Castilla y León;2023T4;40,8
Industria;Mujeres;07 Castilla y León;2023T3;40,4
Industria;Mujeres;07 Castilla y León;2023T2;39,3
Industria;Mujeres;07 Castilla y León;2023T1;40,9
Industria;Mujeres;07 Castilla y León;2022T4;39,4
Industria;Mujeres;07 Castilla y León;2022T3;37,9
Industria;Mujeres;07 Castilla y León;2022T2;38,2
Industria;Mujeres;07 Castilla y León;2022T1;38,3
Industria;Mujeres;07 Castilla y León;2021T4;36,3
Industria;Mujeres;07 Castilla y León;2021T3;38,4
Industria;Mujeres;07 Castilla y León;2021T2;39,3
Industria;Mujeres;07 Castilla y León;2021T1;34,8
Industria;Mujeres;07 Castilla y León;2020T4;40,8
Industria;Mujeres;07 Castilla y León;2020T3;37,5
Industria;Mujeres;07 Castilla y León;2020T2;36,8
Industria;Mujeres;07 Castilla y León;2020T1;41,4
Industria;Mujeres;07 Castilla y León;2019T4;45,0
Industria;Mujeres;07 Castilla y León;2019T3;42,6
Industria;Mujeres;07 Castilla y León;2019T2;42,5
Industria;Mujeres;07 Castilla y León;2019T1;41,6
Industria;Mujeres;07 Castilla y León;2018T4;41,1
Industria;Mujeres;07 Castilla y León;2018T3;44,3
Industria;Mujeres;07 Castilla y León;2018T2;43,9
Industria;Mujeres;07 Castilla y León;2018T1;39,5
Industria;Mujeres;07 Castilla y León;2017T4;36,3
Industria;Mujeres;07 Castilla y León;2017T3;36,9
Industria;Mujeres;07 Castilla y León;2017T2;33,5
Industria;Mujeres;07 Castilla y León;2017T1;35,5
Industria;Mujeres;07 Castilla y León;2016T4;36,9
Industria;Mujeres;07 Castilla y León;2016T3;37,6
Industria;Mujeres;07 Castilla y León;2016T2;35,3
Industria;Mujeres;07 Castilla y León;2016T1;32,0
Industria;Mujeres;08 Castilla - La Mancha;2025T3;48,4
Industria;Mujeres;08 Castilla - La Mancha;2025T2;43,6
Industria;Mujeres;08 Castilla - La Mancha;2025T1;43,1
Industria;Mujeres;08 Castilla - La Mancha;2024T4;41,3
Industria;Mujeres;08 Castilla - La Mancha;2024T3;41,4
Industria;Mujeres;08 Castilla - La Mancha;2024T2;37,5
Industria;Mujeres;08 Castilla - La Mancha;2024T1;34,4
Industria;Mujeres;08 Castilla - La Mancha;2023T4;37,7
Industria;Mujeres;08 Castilla - La Mancha;2023T3;39,1
Industria;Mujeres;08 Castilla - La Mancha;2023T2;40,5
Industria;Mujeres;08 Castilla - La Mancha;2023T1;38,9
Industria;Mujeres;08 Castilla - La Mancha;2022T4;34,1
Industria;Mujeres;08 Castilla - La Mancha;2022T3;30,4
Industria;Mujeres;08 Castilla - La Mancha;2022T2;28,0
Industria;Mujeres;08 Castilla - La Mancha;2022T1;25,3
Industria;Mujeres;08 Castilla - La Mancha;2021T4;27,5
Industria;Mujeres;08 Castilla - La Mancha;2021T3;30,3
Industria;Mujeres;08 Castilla - La Mancha;2021T2;26,0
Industria;Mujeres;08 Castilla - La Mancha;2021T1;26,4
Industria;Mujeres;08 Castilla - La Mancha;2020T4;29,8
Industria;Mujeres;08 Castilla - La Mancha;2020T3;27,3
Industria;Mujeres;08 Castilla - La Mancha;2020T2;25,1
Industria;Mujeres;08 Castilla - La Mancha;2020T1;29,7
Industria;Mujeres;08 Castilla - La Mancha;2019T4;34,0
Industria;Mujeres;08 Castilla - La Mancha;2019T3;34,0
Industria;Mujeres;08 Castilla - La Mancha;2019T2;34,5
Industria;Mujeres;08 Castilla - La Mancha;2019T1;34,9
Industria;Mujeres;08 Castilla - La Mancha;2018T4;33,9
Industria;Mujeres;08 Castilla - La Mancha;2018T3;34,0
Industria;Mujeres;08 Castilla - La Mancha;2018T2;30,0
Industria;Mujeres;08 Castilla - La Mancha;2018T1;27,0
Industria;Mujeres;08 Castilla - La Mancha;2017T4;29,6
Industria;Mujeres;08 Castilla - La Mancha;2017T3;27,6
Industria;Mujeres;08 Castilla - La Mancha;2017T2;27,3
Industria;Mujeres;08 Castilla - La Mancha;2017T1;29,3
Industria;Mujeres;08 Castilla - La Mancha;2016T4;31,2
Industria;Mujeres;08 Castilla - La Mancha;2016T3;29,6
Industria;Mujeres;08 Castilla - La Mancha;2016T2;25,9
Industria;Mujeres;08 Castilla - La Mancha;2016T1;25,2
Industria;Mujeres;09 Cataluña;2025T3;236,4
Industria;Mujeres;09 Cataluña;2025T2;219,3
Industria;Mujeres;09 Cataluña;2025T1;198,4
Industria;Mujeres;09 Cataluña;2024T4;202,3
Industria;Mujeres;09 Cataluña;2024T3;205,0
Industria;Mujeres;09 Cataluña;2024T2;196,9
Industria;Mujeres;09 Cataluña;2024T1;197,7
Industria;Mujeres;09 Cataluña;2023T4;201,3
Industria;Mujeres;09 Cataluña;2023T3;214,6
Industria;Mujeres;09 Cataluña;2023T2;195,2
Industria;Mujeres;09 Cataluña;2023T1;191,5
Industria;Mujeres;09 Cataluña;2022T4;204,6
Industria;Mujeres;09 Cataluña;2022T3;188,2
Industria;Mujeres;09 Cataluña;2022T2;201,9
Industria;Mujeres;09 Cataluña;2022T1;179,2
Industria;Mujeres;09 Cataluña;2021T4;172,7
Industria;Mujeres;09 Cataluña;2021T3;174,1
Industria;Mujeres;09 Cataluña;2021T2;168,8
Industria;Mujeres;09 Cataluña;2021T1;177,4
Industria;Mujeres;09 Cataluña;2020T4;185,2
Industria;Mujeres;09 Cataluña;2020T3;185,2
Industria;Mujeres;09 Cataluña;2020T2;195,7
Industria;Mujeres;09 Cataluña;2020T1;197,5
Industria;Mujeres;09 Cataluña;2019T4;200,5
Industria;Mujeres;09 Cataluña;2019T3;192,2
Industria;Mujeres;09 Cataluña;2019T2;190,8
Industria;Mujeres;09 Cataluña;2019T1;190,9
Industria;Mujeres;09 Cataluña;2018T4;175,0
Industria;Mujeres;09 Cataluña;2018T3;184,6
Industria;Mujeres;09 Cataluña;2018T2;183,4
Industria;Mujeres;09 Cataluña;2018T1;178,8
Industria;Mujeres;09 Cataluña;2017T4;176,8
Industria;Mujeres;09 Cataluña;2017T3;173,8
Industria;Mujeres;09 Cataluña;2017T2;168,0
Industria;Mujeres;09 Cataluña;2017T1;165,3
Industria;Mujeres;09 Cataluña;2016T4;162,0
Industria;Mujeres;09 Cataluña;2016T3;162,0
Industria;Mujeres;09 Cataluña;2016T2;168,0
Industria;Mujeres;09 Cataluña;2016T1;173,7
Industria;Mujeres;10 Comunitat Valenciana;2025T3;116,2
Industria;Mujeres;10 Comunitat Valenciana;2025T2;120,4
Industria;Mujeres;10 Comunitat Valenciana;2025T1;118,1
Industria;Mujeres;10 Comunitat Valenciana;2024T4;111,1
Industria;Mujeres;10 Comunitat Valenciana;2024T3;114,2
Industria;Mujeres;10 Comunitat Valenciana;2024T2;114,6
Industria;Mujeres;10 Comunitat Valenciana;2024T1;104,3
Industria;Mujeres;10 Comunitat Valenciana;2023T4;107,0
Industria;Mujeres;10 Comunitat Valenciana;2023T3;104,8
Industria;Mujeres;10 Comunitat Valenciana;2023T2;97,9
Industria;Mujeres;10 Comunitat Valenciana;2023T1;105,2
Industria;Mujeres;10 Comunitat Valenciana;2022T4;114,4
Industria;Mujeres;10 Comunitat Valenciana;2022T3;116,1
Industria;Mujeres;10 Comunitat Valenciana;2022T2;109,5
Industria;Mujeres;10 Comunitat Valenciana;2022T1;104,0
Industria;Mujeres;10 Comunitat Valenciana;2021T4;97,4
Industria;Mujeres;10 Comunitat Valenciana;2021T3;91,3
Industria;Mujeres;10 Comunitat Valenciana;2021T2;83,3
Industria;Mujeres;10 Comunitat Valenciana;2021T1;92,2
Industria;Mujeres;10 Comunitat Valenciana;2020T4;99,5
Industria;Mujeres;10 Comunitat Valenciana;2020T3;89,5
Industria;Mujeres;10 Comunitat Valenciana;2020T2;86,9
Industria;Mujeres;10 Comunitat Valenciana;2020T1;101,4
Industria;Mujeres;10 Comunitat Valenciana;2019T4;99,3
Industria;Mujeres;10 Comunitat Valenciana;2019T3;106,8
Industria;Mujeres;10 Comunitat Valenciana;2019T2;103,6
Industria;Mujeres;10 Comunitat Valenciana;2019T1;96,8
Industria;Mujeres;10 Comunitat Valenciana;2018T4;98,2
Industria;Mujeres;10 Comunitat Valenciana;2018T3;97,7
Industria;Mujeres;10 Comunitat Valenciana;2018T2;100,6
Industria;Mujeres;10 Comunitat Valenciana;2018T1;97,2
Industria;Mujeres;10 Comunitat Valenciana;2017T4;99,1
Industria;Mujeres;10 Comunitat Valenciana;2017T3;97,1
Industria;Mujeres;10 Comunitat Valenciana;2017T2;96,0
Industria;Mujeres;10 Comunitat Valenciana;2017T1;98,7
Industria;Mujeres;10 Comunitat Valenciana;2016T4;90,4
Industria;Mujeres;10 Comunitat Valenciana;2016T3;82,1
Industria;Mujeres;10 Comunitat Valenciana;2016T2;79,3
Industria;Mujeres;10 Comunitat Valenciana;2016T1;83,0
Industria;Mujeres;11 Extremadura;2025T3;10,0
Industria;Mujeres;11 Extremadura;2025T2;9,8
Industria;Mujeres;11 Extremadura;2025T1;9,5
Industria;Mujeres;11 Extremadura;2024T4;7,9
Industria;Mujeres;11 Extremadura;2024T3;9,0
Industria;Mujeres;11 Extremadura;2024T2;9,2
Industria;Mujeres;11 Extremadura;2024T1;8,5
Industria;Mujeres;11 Extremadura;2023T4;7,8
Industria;Mujeres;11 Extremadura;2023T3;9,6
Industria;Mujeres;11 Extremadura;2023T2;9,3
Industria;Mujeres;11 Extremadura;2023T1;9,5
Industria;Mujeres;11 Extremadura;2022T4;10,2
Industria;Mujeres;11 Extremadura;2022T3;10,9
Industria;Mujeres;11 Extremadura;2022T2;8,9
Industria;Mujeres;11 Extremadura;2022T1;7,5
Industria;Mujeres;11 Extremadura;2021T4;7,4
Industria;Mujeres;11 Extremadura;2021T3;8,4
Industria;Mujeres;11 Extremadura;2021T2;9,4
Industria;Mujeres;11 Extremadura;2021T1;8,0
Industria;Mujeres;11 Extremadura;2020T4;8,5
Industria;Mujeres;11 Extremadura;2020T3;9,3
Industria;Mujeres;11 Extremadura;2020T2;10,7
Industria;Mujeres;11 Extremadura;2020T1;10,9
Industria;Mujeres;11 Extremadura;2019T4;10,1
Industria;Mujeres;11 Extremadura;2019T3;10,4
Industria;Mujeres;11 Extremadura;2019T2;7,7
Industria;Mujeres;11 Extremadura;2019T1;6,9
Industria;Mujeres;11 Extremadura;2018T4;6,6
Industria;Mujeres;11 Extremadura;2018T3;5,9
Industria;Mujeres;11 Extremadura;2018T2;5,3
Industria;Mujeres;11 Extremadura;2018T1;5,9
Industria;Mujeres;11 Extremadura;2017T4;6,3
Industria;Mujeres;11 Extremadura;2017T3;7,5
Industria;Mujeres;11 Extremadura;2017T2;6,6
Industria;Mujeres;11 Extremadura;2017T1;5,2
Industria;Mujeres;11 Extremadura;2016T4;7,5
Industria;Mujeres;11 Extremadura;2016T3;8,0
Industria;Mujeres;11 Extremadura;2016T2;8,1
Industria;Mujeres;11 Extremadura;2016T1;8,5
Industria;Mujeres;12 Galicia;2025T3;58,3
Industria;Mujeres;12 Galicia;2025T2;57,0
Industria;Mujeres;12 Galicia;2025T1;57,2
Industria;Mujeres;12 Galicia;2024T4;54,3
Industria;Mujeres;12 Galicia;2024T3;55,5
Industria;Mujeres;12 Galicia;2024T2;50,4
Industria;Mujeres;12 Galicia;2024T1;48,1
Industria;Mujeres;12 Galicia;2023T4;52,0
Industria;Mujeres;12 Galicia;2023T3;49,1
Industria;Mujeres;12 Galicia;2023T2;54,1
Industria;Mujeres;12 Galicia;2023T1;51,2
Industria;Mujeres;12 Galicia;2022T4;51,7
Industria;Mujeres;12 Galicia;2022T3;55,4
Industria;Mujeres;12 Galicia;2022T2;52,8
Industria;Mujeres;12 Galicia;2022T1;50,1
Industria;Mujeres;12 Galicia;2021T4;50,7
Industria;Mujeres;12 Galicia;2021T3;50,6
Industria;Mujeres;12 Galicia;2021T2;49,8
Industria;Mujeres;12 Galicia;2021T1;42,4
Industria;Mujeres;12 Galicia;2020T4;46,6
Industria;Mujeres;12 Galicia;2020T3;49,4
Industria;Mujeres;12 Galicia;2020T2;55,3
Industria;Mujeres;12 Galicia;2020T1;53,5
Industria;Mujeres;12 Galicia;2019T4;52,9
Industria;Mujeres;12 Galicia;2019T3;50,7
Industria;Mujeres;12 Galicia;2019T2;50,6
Industria;Mujeres;12 Galicia;2019T1;48,2
Industria;Mujeres;12 Galicia;2018T4;46,2
Industria;Mujeres;12 Galicia;2018T3;45,8
Industria;Mujeres;12 Galicia;2018T2;44,4
Industria;Mujeres;12 Galicia;2018T1;48,3
Industria;Mujeres;12 Galicia;2017T4;49,9
Industria;Mujeres;12 Galicia;2017T3;49,2
Industria;Mujeres;12 Galicia;2017T2;50,5
Industria;Mujeres;12 Galicia;2017T1;50,0
Industria;Mujeres;12 Galicia;2016T4;50,9
Industria;Mujeres;12 Galicia;2016T3;47,8
Industria;Mujeres;12 Galicia;2016T2;45,4
Industria;Mujeres;12 Galicia;2016T1;44,9
Industria;Mujeres;13 Madrid, Comunidad de;2025T3;97,4
Industria;Mujeres;13 Madrid, Comunidad de;2025T2;99,5
Industria;Mujeres;13 Madrid, Comunidad de;2025T1;101,9
Industria;Mujeres;13 Madrid, Comunidad de;2024T4;98,7
Industria;Mujeres;13 Madrid, Comunidad de;2024T3;106,0
Industria;Mujeres;13 Madrid, Comunidad de;2024T2;113,9
Industria;Mujeres;13 Madrid, Comunidad de;2024T1;102,9
Industria;Mujeres;13 Madrid, Comunidad de;2023T4;102,2
Industria;Mujeres;13 Madrid, Comunidad de;2023T3;96,3
Industria;Mujeres;13 Madrid, Comunidad de;2023T2;92,8
Industria;Mujeres;13 Madrid, Comunidad de;2023T1;85,0
Industria;Mujeres;13 Madrid, Comunidad de;2022T4;87,7
Industria;Mujeres;13 Madrid, Comunidad de;2022T3;92,4
Industria;Mujeres;13 Madrid, Comunidad de;2022T2;90,2
Industria;Mujeres;13 Madrid, Comunidad de;2022T1;75,3
Industria;Mujeres;13 Madrid, Comunidad de;2021T4;79,3
Industria;Mujeres;13 Madrid, Comunidad de;2021T3;85,4
Industria;Mujeres;13 Madrid, Comunidad de;2021T2;88,8
Industria;Mujeres;13 Madrid, Comunidad de;2021T1;87,5
Industria;Mujeres;13 Madrid, Comunidad de;2020T4;98,3
Industria;Mujeres;13 Madrid, Comunidad de;2020T3;91,8
Industria;Mujeres;13 Madrid, Comunidad de;2020T2;96,8
Industria;Mujeres;13 Madrid, Comunidad de;2020T1;94,3
Industria;Mujeres;13 Madrid, Comunidad de;2019T4;94,0
Industria;Mujeres;13 Madrid, Comunidad de;2019T3;94,8
Industria;Mujeres;13 Madrid, Comunidad de;2019T2;91,6
Industria;Mujeres;13 Madrid, Comunidad de;2019T1;95,4
Industria;Mujeres;13 Madrid, Comunidad de;2018T4;80,6
Industria;Mujeres;13 Madrid, Comunidad de;2018T3;77,3
Industria;Mujeres;13 Madrid, Comunidad de;2018T2;73,1
Industria;Mujeres;13 Madrid, Comunidad de;2018T1;69,2
Industria;Mujeres;13 Madrid, Comunidad de;2017T4;72,8
Industria;Mujeres;13 Madrid, Comunidad de;2017T3;72,0
Industria;Mujeres;13 Madrid, Comunidad de;2017T2;71,0
Industria;Mujeres;13 Madrid, Comunidad de;2017T1;58,1
Industria;Mujeres;13 Madrid, Comunidad de;2016T4;57,3
Industria;Mujeres;13 Madrid, Comunidad de;2016T3;57,0
Industria;Mujeres;13 Madrid, Comunidad de;2016T2;57,5
Industria;Mujeres;13 Madrid, Comunidad de;2016T1;64,8
Industria;Mujeres;14 Murcia, Región de;2025T3;26,8
Industria;Mujeres;14 Murcia, Región de;2025T2;25,5
Industria;Mujeres;14 Murcia, Región de;2025T1;21,8
Industria;Mujeres;14 Murcia, Región de;2024T4;21,6
Industria;Mujeres;14 Murcia, Región de;2024T3;21,4
Industria;Mujeres;14 Murcia, Región de;2024T2;18,9
Industria;Mujeres;14 Murcia, Región de;2024T1;16,3
Industria;Mujeres;14 Murcia, Región de;2023T4;16,1
Industria;Mujeres;14 Murcia, Región de;2023T3;19,8
Industria;Mujeres;14 Murcia, Región de;2023T2;19,2
Industria;Mujeres;14 Murcia, Región de;2023T1;19,7
Industria;Mujeres;14 Murcia, Región de;2022T4;20,8
Industria;Mujeres;14 Murcia, Región de;2022T3;22,3
Industria;Mujeres;14 Murcia, Región de;2022T2;25,9
Industria;Mujeres;14 Murcia, Región de;2022T1;21,8
Industria;Mujeres;14 Murcia, Región de;2021T4;24,2
Industria;Mujeres;14 Murcia, Región de;2021T3;27,1
Industria;Mujeres;14 Murcia, Región de;2021T2;23,1
Industria;Mujeres;14 Murcia, Región de;2021T1;20,2
Industria;Mujeres;14 Murcia, Región de;2020T4;24,2
Industria;Mujeres;14 Murcia, Región de;2020T3;19,1
Industria;Mujeres;14 Murcia, Región de;2020T2;14,8
Industria;Mujeres;14 Murcia, Región de;2020T1;17,4
Industria;Mujeres;14 Murcia, Región de;2019T4;16,7
Industria;Mujeres;14 Murcia, Región de;2019T3;17,7
Industria;Mujeres;14 Murcia, Región de;2019T2;18,2
Industria;Mujeres;14 Murcia, Región de;2019T1;19,9
Industria;Mujeres;14 Murcia, Región de;2018T4;19,6
Industria;Mujeres;14 Murcia, Región de;2018T3;19,9
Industria;Mujeres;14 Murcia, Región de;2018T2;19,7
Industria;Mujeres;14 Murcia, Región de;2018T1;16,6
Industria;Mujeres;14 Murcia, Región de;2017T4;16,6
Industria;Mujeres;14 Murcia, Región de;2017T3;20,1
Industria;Mujeres;14 Murcia, Región de;2017T2;21,2
Industria;Mujeres;14 Murcia, Región de;2017T1;17,2
Industria;Mujeres;14 Murcia, Región de;2016T4;17,8
Industria;Mujeres;14 Murcia, Región de;2016T3;20,7
Industria;Mujeres;14 Murcia, Región de;2016T2;21,9
Industria;Mujeres;14 Murcia, Región de;2016T1;18,9
Industria;Mujeres;15 Navarra, Comunidad Foral de;2025T3;22,2
Industria;Mujeres;15 Navarra, Comunidad Foral de;2025T2;23,3
Industria;Mujeres;15 Navarra, Comunidad Foral de;2025T1;23,5
Industria;Mujeres;15 Navarra, Comunidad Foral de;2024T4;25,0
Industria;Mujeres;15 Navarra, Comunidad Foral de;2024T3;22,3
Industria;Mujeres;15 Navarra, Comunidad Foral de;2024T2;23,4
Industria;Mujeres;15 Navarra, Comunidad Foral de;2024T1;21,7
Industria;Mujeres;15 Navarra, Comunidad Foral de;2023T4;19,2
Industria;Mujeres;15 Navarra, Comunidad Foral de;2023T3;24,0
Industria;Mujeres;15 Navarra, Comunidad Foral de;2023T2;22,8
Industria;Mujeres;15 Navarra, Comunidad Foral de;2023T1;19,5
Industria;Mujeres;15 Navarra, Comunidad Foral de;2022T4;24,1
Industria;Mujeres;15 Navarra, Comunidad Foral de;2022T3;21,7
Industria;Mujeres;15 Navarra, Comunidad Foral de;2022T2;19,4
Industria;Mujeres;15 Navarra, Comunidad Foral de;2022T1;19,9
Industria;Mujeres;15 Navarra, Comunidad Foral de;2021T4;21,2
Industria;Mujeres;15 Navarra, Comunidad Foral de;2021T3;25,1
Industria;Mujeres;15 Navarra, Comunidad Foral de;2021T2;21,9
Industria;Mujeres;15 Navarra, Comunidad Foral de;2021T1;17,6
Industria;Mujeres;15 Navarra, Comunidad Foral de;2020T4;20,5
Industria;Mujeres;15 Navarra, Comunidad Foral de;2020T3;20,3
Industria;Mujeres;15 Navarra, Comunidad Foral de;2020T2;17,7
Industria;Mujeres;15 Navarra, Comunidad Foral de;2020T1;19,8
Industria;Mujeres;15 Navarra, Comunidad Foral de;2019T4;17,8
Industria;Mujeres;15 Navarra, Comunidad Foral de;2019T3;20,2
Industria;Mujeres;15 Navarra, Comunidad Foral de;2019T2;19,4
Industria;Mujeres;15 Navarra, Comunidad Foral de;2019T1;20,6
